,x,y,color,label,word
0,0.5222158,1.1960855,[0. 0. 0. 1.],american,carolina
1,-1.9097682,-0.57806826,[0. 0. 0. 1.],american,classic
2,0.23161203,0.47576433,[0. 0. 0. 1.],american,beach
3,-0.7021742,0.990894,[0. 0. 0. 1.],american,kitchen
4,-1.3349552,-1.544616,[0. 0. 0. 1.],american,canadian
5,-1.4174308,-1.9585048,[0. 0. 0. 1.],american,grandma
6,-0.9222579,0.033416867,[0. 0. 0. 1.],american,dill pickle
7,-0.78888464,-1.0612836,[0. 0. 0. 1.],american,bologna
8,-2.1129203,0.2914609,[0. 0. 0. 1.],american,cheeseburger
9,-0.6823362,3.31934,[0. 0. 0. 1.],american,texas
10,0.27036086,6.172087,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
11,-0.6962862,5.1427946,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
12,0.098520786,6.918929,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
13,-0.5040232,5.730176,[0.48367647 0.         0.55030196 1.        ],mexican,taco
14,-1.3536743,4.4588027,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
15,-0.91094667,6.9705153,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada
16,-0.42057484,4.6729264,[0.48367647 0.         0.55030196 1.        ],mexican,crushed tortilla chips
17,-0.3277748,6.8344846,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla
18,-0.11775918,4.2502565,[0.48367647 0.         0.55030196 1.        ],mexican,huevos
19,1.3319156,5.328184,[0.48367647 0.         0.55030196 1.        ],mexican,fajita
20,-1.0059537,2.3620958,[0.26142157 0.         0.63400392 1.        ],italian,italiano
21,-3.098026,3.426949,[0.26142157 0.         0.63400392 1.        ],italian,italian sausage
22,-1.2499973,2.768922,[0.26142157 0.         0.63400392 1.        ],italian,sicilian
23,-1.0717515,2.9737267,[0.26142157 0.         0.63400392 1.        ],italian,tuscan
24,-2.0831912,1.7260832,[0.26142157 0.         0.63400392 1.        ],italian,bulk italian sausage
25,-2.2787716,2.6194818,[0.26142157 0.         0.63400392 1.        ],italian,sweet italian sausage
26,-2.7555192,2.114765,[0.26142157 0.         0.63400392 1.        ],italian,romano cheese
27,-2.068041,2.48581,[0.26142157 0.         0.63400392 1.        ],italian,italian seasoning
28,-1.3725625,3.5954156,[0.26142157 0.         0.63400392 1.        ],italian,marinara
29,-1.294071,5.427332,[0.26142157 0.         0.63400392 1.        ],italian,cacciatore
30,-1.3332317,-1.7371963,[0.         0.         0.81964118 1.        ],polish,ukrainian
31,-1.346404,-1.4609971,[0.         0.         0.81964118 1.        ],polish,sauerkraut
32,-1.8969117,-1.2553782,[0.         0.         0.81964118 1.        ],polish,sauerkraut drained
33,-0.74040693,0.23797585,[0.         0.         0.81964118 1.        ],polish,hungarian
34,-1.60691,-1.690565,[0.         0.         0.81964118 1.        ],polish,bavarian
35,-1.9403646,-2.3905995,[0.         0.         0.81964118 1.        ],polish,german
36,-1.1493092,-1.0626554,[0.         0.         0.81964118 1.        ],polish,caraway seed
37,-1.3899901,-2.5822604,[0.         0.         0.81964118 1.        ],polish,swedish
38,-0.84788406,-1.5283053,[0.         0.         0.81964118 1.        ],polish,russian
39,-0.77182436,-1.1378834,[0.         0.         0.81964118 1.        ],polish,norwegian
40,-1.1749697,-1.3674905,[0.         0.46931373 0.8667     1.        ],german,polish
41,-1.60691,-1.690565,[0.         0.46931373 0.8667     1.        ],german,bavarian
42,-1.3332317,-1.7371963,[0.         0.46931373 0.8667     1.        ],german,ukrainian
43,-1.3899901,-2.5822604,[0.         0.46931373 0.8667     1.        ],german,swedish
44,-0.74040693,0.23797585,[0.         0.46931373 0.8667     1.        ],german,hungarian
45,-1.5344197,-2.2305133,[0.         0.46931373 0.8667     1.        ],german,dutch
46,-1.346404,-1.4609971,[0.         0.46931373 0.8667     1.        ],german,sauerkraut
47,-0.77182436,-1.1378834,[0.         0.46931373 0.8667     1.        ],german,norwegian
48,-0.84788406,-1.5283053,[0.         0.46931373 0.8667     1.        ],german,russian
49,-1.8969117,-1.2553782,[0.         0.46931373 0.8667     1.        ],german,sauerkraut drained
50,1.3454335,12.25825,[0.         0.62354118 0.79611176 1.        ],spanish,paella
51,-1.0345064,7.782112,[0.         0.62354118 0.79611176 1.        ],spanish,chorizo sausage
52,-0.5115524,3.9112484,[0.         0.62354118 0.79611176 1.        ],spanish,portuguese
53,0.6031804,8.544336,[0.         0.62354118 0.79611176 1.        ],spanish,arroz
54,-0.394744,8.211919,[0.         0.62354118 0.79611176 1.        ],spanish,pollo
55,-0.47016686,7.100245,[0.         0.62354118 0.79611176 1.        ],spanish,chorizo
56,0.7553183,5.428097,[0.         0.62354118 0.79611176 1.        ],spanish,cuban
57,0.27771306,5.7603073,[0.         0.62354118 0.79611176 1.        ],spanish,saffron thread
58,-0.24992731,6.564639,[0.         0.62354118 0.79611176 1.        ],spanish,mexican
59,-0.28311306,9.205877,[0.         0.62354118 0.79611176 1.        ],spanish,jambalaya
60,-2.8717318,-0.42831138,[0.         0.6667     0.58561373 1.        ],french,french bread
61,-1.5548705,-2.0874507,[0.         0.6667     0.58561373 1.        ],french,brioche
62,-2.7158751,-0.102815084,[0.         0.6667     0.58561373 1.        ],french,loaf french bread
63,-0.84726834,-1.5369458,[0.         0.6667     0.58561373 1.        ],french,challah
64,-1.8243924,-2.3845224,[0.         0.6667     0.58561373 1.        ],french,overnight
65,-3.256891,-1.7299881,[0.         0.6667     0.58561373 1.        ],french,gruyere
66,-1.4576081,-2.8852348,[0.         0.6667     0.58561373 1.        ],french,toast
67,-1.0711421,-2.1184165,[0.         0.6667     0.58561373 1.        ],french,belgian
68,-1.6508297,-2.0611691,[0.         0.6667     0.58561373 1.        ],french,cognac
69,-2.0353236,-0.23081294,[0.         0.6667     0.58561373 1.        ],french,vidalia
70,-1.169277,6.486213,[0.         0.6091549  0.07319804 1.        ],greek,mediterranean
71,-1.6010063,2.7280111,[0.         0.6091549  0.07319804 1.        ],greek,feta
72,0.41415536,2.1489806,[0.         0.6091549  0.07319804 1.        ],greek,tzatziki
73,-1.9578154,4.0404944,[0.         0.6091549  0.07319804 1.        ],greek,kalamata olives
74,-1.7975683,4.4300375,[0.         0.6091549  0.07319804 1.        ],greek,kalamata olive
75,-0.5740012,3.32697,[0.         0.6091549  0.07319804 1.        ],greek,dried mint
76,-1.820362,4.0331473,[0.         0.6091549  0.07319804 1.        ],greek,kalamata olive pitted
77,-1.787371,3.978536,[0.         0.6091549  0.07319804 1.        ],greek,feta cheese
78,0.15028444,2.9046087,[0.         0.6091549  0.07319804 1.        ],greek,turkish
79,-1.7994523,3.1858523,[0.         0.6091549  0.07319804 1.        ],greek,kalamata olives pitted
80,-0.6489072,-2.1507096,[0.         0.74899412 0.         1.        ],english,scottish
81,-1.3349552,-1.544616,[0.         0.74899412 0.         1.        ],english,canadian
82,-1.5548705,-2.0874507,[0.         0.74899412 0.         1.        ],english,brioche
83,-0.96898836,-0.3612252,[0.         0.74899412 0.         1.        ],english,savoury
84,-0.58831924,-1.0694214,[0.         0.74899412 0.         1.        ],english,plain
85,-0.9739517,-2.5991602,[0.         0.74899412 0.         1.        ],english,stilton
86,-1.4141207,-2.2726672,[0.         0.74899412 0.         1.        ],english,starter
87,-1.5638758,-2.836787,[0.         0.74899412 0.         1.        ],english,danish
88,-0.22313327,-2.4977098,[0.         0.74899412 0.         1.        ],english,mixed spice
89,-0.77182436,-1.1378834,[0.         0.74899412 0.         1.        ],english,norwegian
90,-0.06660952,7.3511505,[0.         0.91636078 0.         1.        ],portuguese,spanish
91,-1.0345064,7.782112,[0.         0.91636078 0.         1.        ],portuguese,chorizo sausage
92,-1.1113886,1.5281119,[0.         0.91636078 0.         1.        ],portuguese,salt pork
93,0.12382752,4.2517815,[0.         0.91636078 0.         1.        ],portuguese,clam juice
94,0.27771306,5.7603073,[0.         0.91636078 0.         1.        ],portuguese,saffron thread
95,-0.48076448,2.14936,[0.         0.91636078 0.         1.        ],portuguese,orleans
96,1.540459,3.7332983,[0.         0.91636078 0.         1.        ],portuguese,clams
97,-0.47016686,7.100245,[0.         0.91636078 0.         1.        ],portuguese,chorizo
98,1.341469,3.5881257,[0.         0.91636078 0.         1.        ],portuguese,brazilian
99,1.3454335,12.25825,[0.         0.91636078 0.         1.        ],portuguese,paella
100,2.5163286,3.9556441,[0.51762353 1.         0.         1.        ],indian,masala
101,3.668157,3.1028526,[0.51762353 1.         0.         1.        ],indian,black mustard seeds
102,1.9161034,3.9482377,[0.51762353 1.         0.         1.        ],indian,dal
103,3.664198,4.6556187,[0.51762353 1.         0.         1.        ],indian,tandoori
104,2.3474827,2.6525843,[0.51762353 1.         0.         1.        ],indian,asafetida powder
105,3.9110713,3.4286523,[0.51762353 1.         0.         1.        ],indian,curry leaves
106,4.095611,5.7739186,[0.51762353 1.         0.         1.        ],indian,garam masala
107,3.2092886,3.8325388,[0.51762353 1.         0.         1.        ],indian,african
108,2.074518,2.9236097,[0.51762353 1.         0.         1.        ],indian,ghee
109,2.7953963,2.8600688,[0.51762353 1.         0.         1.        ],indian,fenugreek seeds
110,8.901306,-1.6005596,[0.92545686 0.93591569 0.         1.        ],chinese,oriental
111,7.935012,0.0563007,[0.92545686 0.93591569 0.         1.        ],chinese,szechuan
112,10.012726,-0.95520604,[0.92545686 0.93591569 0.         1.        ],chinese,rice wine
113,12.122134,-0.93014485,[0.92545686 0.93591569 0.         1.        ],chinese,asian
114,11.263707,-0.25536567,[0.92545686 0.93591569 0.         1.        ],chinese,oyster sauce
115,12.439914,-1.7033192,[0.92545686 0.93591569 0.         1.        ],chinese,sesame oil
116,7.8196573,-0.1480545,[0.92545686 0.93591569 0.         1.        ],chinese,bamboo shoots
117,9.864085,-1.3338089,[0.92545686 0.93591569 0.         1.        ],chinese,korean
118,9.7875805,-1.238687,[0.92545686 0.93591569 0.         1.        ],chinese,soy sauce
119,7.9247828,-0.24633929,[0.92545686 0.93591569 0.         1.        ],chinese,bok choy
120,12.419929,3.2086282,[1.         0.75686275 0.         1.        ],vietnamese,thai
121,12.746942,2.3605442,[1.         0.75686275 0.         1.        ],vietnamese,fish sauce
122,8.444134,1.2144573,[1.         0.75686275 0.         1.        ],vietnamese,rice noodles
123,8.594279,0.24803792,[1.         0.75686275 0.         1.        ],vietnamese,fresh bean sprouts
124,9.214089,2.6977224,[1.         0.75686275 0.         1.        ],vietnamese,thai fish sauce
125,7.7789316,0.62307507,[1.         0.75686275 0.         1.        ],vietnamese,roasted peanuts
126,10.47071,1.0460933,[1.         0.75686275 0.         1.        ],vietnamese,asian fish sauce
127,7.8341494,0.47629976,[1.         0.75686275 0.         1.        ],vietnamese,sambal oelek
128,12.122134,-0.93014485,[1.         0.75686275 0.         1.        ],vietnamese,asian
129,8.678509,1.9154694,[1.         0.75686275 0.         1.        ],vietnamese,lemongrass
130,11.119091,1.4044877,[1.         0.31764706 0.         1.        ],thai,vietnamese
131,6.4978685,1.4033862,[1.         0.31764706 0.         1.        ],thai,indonesian
132,12.746942,2.3605442,[1.         0.31764706 0.         1.        ],thai,fish sauce
133,8.734377,4.0057836,[1.         0.31764706 0.         1.        ],thai,red curry paste
134,9.214089,2.6977224,[1.         0.31764706 0.         1.        ],thai,thai fish sauce
135,7.3328385,2.8684623,[1.         0.31764706 0.         1.        ],thai,thai red curry paste
136,12.122134,-0.93014485,[1.         0.31764706 0.         1.        ],thai,asian
137,8.444134,1.2144573,[1.         0.31764706 0.         1.        ],thai,rice noodles
138,7.7789316,0.62307507,[1.         0.31764706 0.         1.        ],thai,roasted peanuts
139,7.8341494,0.47629976,[1.         0.31764706 0.         1.        ],thai,sambal oelek
140,5.3135633,-2.0989866,[0.90329216 0.         0.         1.        ],japanese,dashi
141,4.98627,-2.4883757,[0.90329216 0.         0.         1.        ],japanese,bonito flakes
142,5.440768,-3.0193858,[0.90329216 0.         0.         1.        ],japanese,dashi stock
143,6.129088,-2.2089436,[0.90329216 0.         0.         1.        ],japanese,ponzu
144,5.11869,-2.867406,[0.90329216 0.         0.         1.        ],japanese,dashi stock granules
145,9.368908,-2.4653873,[0.90329216 0.         0.         1.        ],japanese,mirin
146,6.5239196,-1.8743658,[0.90329216 0.         0.         1.        ],japanese,daikon radish
147,5.261048,-3.0796406,[0.90329216 0.         0.         1.        ],japanese,mentsuyu
148,9.864085,-1.3338089,[0.90329216 0.         0.         1.        ],japanese,korean
149,10.196542,-2.0379903,[0.90329216 0.         0.         1.        ],japanese,chinese
150,6.7276335,-1.1381279,[0.8        0.04705882 0.04705882 1.        ],korean,kimchi
151,6.2475333,-1.8822259,[0.8        0.04705882 0.04705882 1.        ],korean,gochujang
152,12.122134,-0.93014485,[0.8        0.04705882 0.04705882 1.        ],korean,asian
153,10.196542,-2.0379903,[0.8        0.04705882 0.04705882 1.        ],korean,chinese
154,7.4107094,-2.5216405,[0.8        0.04705882 0.04705882 1.        ],korean,japanese
155,12.439914,-1.7033192,[0.8        0.04705882 0.04705882 1.        ],korean,sesame oil
156,9.368908,-2.4653873,[0.8        0.04705882 0.04705882 1.        ],korean,mirin
157,8.901306,-1.6005596,[0.8        0.04705882 0.04705882 1.        ],korean,oriental
158,10.012726,-0.95520604,[0.8        0.04705882 0.04705882 1.        ],korean,rice wine
159,10.397339,-0.82010317,[0.8        0.04705882 0.04705882 1.        ],korean,rice vinegar
